"id","first_blood_time","radiant_gold_advantage","radiant_experience_advantage","radiant_win","min_radiant_gold_advantage","max_radiant_gold_advantage","mean_radiant_gold_advantage","std_dev_radiant_gold_advantage","final_radiant_gold_advantage","min_radiant_experience_advantage","max_radiant_experience_advantage","mean_radiant_experience_advantage","std_dev_radiant_experience_advantage","final_radiant_experience_advantage"
7987608072,2,"{0,1136,1274,406,-858,-2170,-3246,-5296,-6838,-8028,-7244,-4264,-8884,3076,5730,2946,3822,364,-2460,162,2598,11822,16936,26992}","{0,174,47,-1311,-1824,-4457,-4796,-6075,-9490,-12866,-12318,-8036,-17635,8136,9473,-4116,-7561,-15987,-22032,-7809,11129,4213,9592,26398}",true,-8884,26992,1165.66667,7929.33292,26992,-22032,26398,-2797.95833,10492.74199,26398
7987607270,90,"{-250,164,675,558,523,1752,1885,3299,2445,3964,4466,5453,6357,6888,7250,7407,8866,9468,7087,7223,6561,3097,4618,5735,6785,8524,9439,9617,10925,12148,12142,14600,22970}","{0,85,163,435,323,1138,897,2236,2228,4126,4295,5171,6373,6483,6374,5679,8392,9115,5987,6560,4734,805,3160,5245,7895,12492,12102,12458,13669,11910,12158,19633,24620}",true,-250,22970,6443.66667,4761.00801,22970,0,24620,6573.96970,5734.13129,24620
7987607202,0,"{-951,-1361,-1408,-1583,-912,-2357,-2575,-2778,-2235,-3838,-4333,-3697,-4845,-5214,-6006,-7458,-8295,-10272,-10832,-10623,-10291,-11719,-13195,-13446,-18546,-17552,-21173,-22521,-21722}","{-200,-243,-527,-456,-175,-1851,-2330,-2545,-2687,-4061,-4009,-3314,-4424,-4508,-6357,-6866,-8804,-12472,-12474,-12723,-13391,-16943,-16337,-17632,-26458,-24915,-29257,-28658,-24609}",false,-22521,-912,-8335.79310,6668.06964,-21722,-29257,-175,-9973.31034,9299.54584,-24609
7987641734,0,"{902,734,1590,1440,1888,2396,3124,6314,6738,4848,-1122,-6442,-9806,-6834,-17026,-22062,-29848,-43574}","{198,-281,557,106,464,325,526,4094,4893,1242,-4852,-10211,-17115,-12970,-35349,-21183,-46078,-53194}",false,-43574,6738,-5930.00000,13442.58052,-43574,-53194,4893,-10490.44444,17163.26506,-53194
7987632999,4,"{0,-284,420,1500,1010,2562,2596,6328,4924,8754,7316,10762,9292,6968,7862,-3602,-11312,-9910,-12824,-17038,-21950,-10850,-4726,-8078,-11526}","{0,111,641,1556,712,3256,3997,7783,6283,8255,4943,12561,10390,4658,6380,-13024,-23158,-16230,-23213,-32124,-21116,5734,15078,-12053,-16650}",false,-21950,10762,-1672.24000,8871.85970,-11526,-32124,15078,-2609.20000,12726.70442,-16650
7987631661,75,"{0,328,-26,1076,850,-298,-260,250,960,-1712,-2894,1972,-1820,-2332,-2348,2600,3806,9216,7506,8360,8452,21238,29110,25946,33596,47628}","{0,619,337,841,728,777,1277,2356,4215,1659,694,6969,-1893,-474,1185,10631,12048,17717,6814,6923,3041,31323,38884,22843,37289,51410}",true,-2894,47628,7354.00000,12858.81471,47628,-1893,51410,9931.26923,14201.76402,51410
7987631626,0,"{992,2356,1712,690,490,496,616,-1616,-3484,-4170,-7296,-13920,-15220,-18734,-21834,-22522,-16038,-17480,-15004,-17790,-19062,-17096,-12806,-13368,-22866,-37520,-43488}","{200,1219,1057,292,712,-3,-145,-4072,-8344,-11043,-14165,-17454,-16879,-23486,-22133,-17651,-6676,-13151,-5149,-11133,-19687,-14893,507,-1754,-38426,-49772,-45536}",false,-43488,2356,-12368.96296,11627.34359,-43488,-49772,1219,-12502.40741,13800.51762,-45536
7987631604,0,"{568,981,823,1642,2514,3501,4390,5552,5015,5474,6390,6455,7724,8421,10509,11783,13058,13943,13382,17045,18527,21100,23603}","{100,191,116,471,671,1511,2329,3027,3141,3409,4396,4778,5395,4729,6972,6429,9385,9439,10493,12480,14401,15083,17642}",true,568,23603,8800.00000,6559.98407,23603,100,17642,5938.60870,5110.36129,17642
7987630262,91,"{150,-163,-35,177,345,749,1167,2344,3386,2917,2541,3655,3940,3953,5805,6086,5455,6446,6843,8232,10322,12133,15387,18793,21476,26429}","{-70,-37,463,272,427,968,876,2370,3424,3867,3577,4843,3863,3317,5244,6332,6788,6727,6868,8224,10473,13372,14333,20483,21724,25264}",true,-163,26429,6482.03846,6923.08938,26429,-70,25264,6692.00000,6877.23973,25264
7987630257,85,"{0,-29,840,118,660,1554,2253,2057,2977,3737,4771,4597,4304,5330,5555,5435,7539,10565,12870,15037,17488,22349,20168,20435,21927,27106}","{0,-148,408,-529,-531,315,842,1398,1926,3091,3986,4733,4430,7112,7397,8823,11287,15845,18170,21011,25296,29912,28464,27400,29716,30509}",true,-29,27106,8447.80769,8173.14411,27106,-531,30509,10802.42308,11237.50116,30509
